"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"HNRNPA2B1"	"HNRNPA2B1"	0.230223902921458	-0.130597810537699	0.629804079428756	0.3315703177321	-0.339719252641863	-0.229534938244392	"S01"	0.629804079428756	"IS03"
"CEP57"	"CEP57"	-0.0460696748255874	-0.169048830834136	0.624171729741931	0.123933927128157	-0.220263010374357	-0.048465709156834	"S01"	0.624171729741931	"IS03"
"NASP"	"NASP"	0.149516604118638	0.00152740838759925	0.619641953162105	0.308619830149635	-0.099490142138782	-0.451533365184038	"S01"	0.619641953162105	"IS03"
"FABP5"	"FABP5"	0.212663170872785	-0.370864718602519	0.601425379544734	-0.0572144985503673	-0.172532573254406	0.0510488959930842	"S01"	0.601425379544734	"IS03"
"SRSF3"	"SRSF3"	-0.203694046361475	-0.258447728224471	0.589024195696932	-0.14375819640847	0.30928826650084	-0.141808274201314	"S01"	0.589024195696932	"IS03"
"SNRPF"	"SNRPF"	-0.187224729815868	-0.231700186009774	0.587442806410898	-0.143905707542119	0.0981984706611321	-0.0135573362033217	"S01"	0.587442806410898	"IS03"
"POLR3K"	"POLR3K"	-0.115189300792581	-0.178677181412418	0.582901976764743	-0.121011416218784	-0.184578994276269	0.11094220193558	"S01"	0.582901976764743	"IS03"
"CKAP2"	"CKAP2"	-0.0843930286283112	-0.147995633672198	0.576923954071831	0.203590947056061	-0.204339209912249	-0.0766516224791658	"S01"	0.576923954071831	"IS03"
"UBE2I"	"UBE2I"	-0.0723024030928243	-0.260763623690381	0.552951640095218	-0.0246784479485956	-0.127416200508579	0.0752433038147855	"S01"	0.552951640095218	"IS03"
"CNTRL"	"CNTRL"	-0.0204303967746762	-0.164076809935279	0.548641511515612	0.0729797497926006	-0.196682693355709	-0.0195688541427242	"S01"	0.548641511515612	"IS03"
"SUMO2"	"SUMO2"	-0.050061153435356	-0.545478010119604	0.542347666536745	-0.0410336164369675	-0.170087788076619	0.324793659187143	"S01"	0.542347666536745	"IS03"
"CMC2"	"CMC2"	-0.161206270531666	-0.137999906970378	0.54191209086807	0.146920534261802	-0.322048481833506	0.0844922555787326	"S01"	0.54191209086807	"IS03"
"RBX1"	"RBX1"	-0.323779304374749	-0.544615666017695	0.535021097375224	-0.121783287080012	0.209552641211428	0.218810039945187	"S01"	0.535021097375224	"IS03"
"BLOC1S1"	"BLOC1S1"	-0.297626662557344	-0.509206038308254	0.534408087083191	-0.22695671571638	0.483781757895177	0.0323189957947376	"S01"	0.534408087083191	"IS03"
"RHOA"	"RHOA"	0.177994293826156	-0.322462549218956	0.531623734291401	0.116972994214846	-0.731975026470658	0.386047181794996	"S01"	0.531623734291401	"IS03"
"HNRNPA3"	"HNRNPA3"	0.249999921999656	-0.355050896489856	0.526733782984354	0.308302539233066	-0.0176592871107099	-0.245429977701715	"S01"	0.526733782984354	"IS03"
"LBR"	"LBR"	-0.170050724014617	-0.0769111289634681	0.526093239256961	0.189241535685688	-0.152510466498642	-0.0966170445632134	"S01"	0.526093239256961	"IS03"
"VIM"	"VIM"	-0.136967445175779	0.201380800540537	0.525267671906666	-0.0454594938802028	-0.526975528239925	0.0744891019635992	"S01"	0.525267671906666	"IS03"
"PPP1CA"	"PPP1CA"	-0.256962716157142	-0.56613110184328	0.519285245589986	0.0665317284116431	0.0583103105136538	0.225334959731762	"S01"	0.519285245589986	"IS03"
"PGAM1"	"PGAM1"	0.0691861385247346	-0.599622140790398	0.514937705130889	0.140943299235406	0.140008168927901	0.000423386580582261	"S01"	0.514937705130889	"IS03"
