"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"PPP1CA"	"PPP1CA"	0.355836871053271	0.151436245913574	-0.355179804748323	"S01"	0.355836871053271	"IS01"
"GRB2"	"GRB2"	0.355370016291849	-0.279961385833583	0.0158043204897209	"S01"	0.355370016291849	"IS01"
"CALM2"	"CALM2"	0.354597792911875	-0.267609663658269	0.0056792089237913	"S01"	0.354597792911875	"IS01"
"TRA2B"	"TRA2B"	0.35368720837143	-0.390694965449724	0.112019146691007	"S01"	0.35368720837143	"IS01"
"ATP2B1"	"ATP2B1"	0.352532214034956	-0.339320039030238	0.0686044918691652	"S01"	0.352532214034956	"IS01"
"FADS3"	"FADS3"	0.350473861101629	-0.152976252652139	-0.0902140792217425	"S01"	0.350473861101629	"IS01"
"CSK"	"CSK"	0.350263235897338	0.234780407795506	-0.423270160970849	"S01"	0.350263235897338	"IS01"
"TNFSF11"	"TNFSF11"	0.347796148634732	-0.0191525114187137	-0.203511806900405	"S01"	0.347796148634732	"IS01"
"ROCK1"	"ROCK1"	0.347481668330858	-0.228976208168563	-0.0230168193995332	"S01"	0.347481668330858	"IS01"
"CYB561A3"	"CYB561A3"	0.346736339560298	0.0204931940532437	-0.236908046148612	"S01"	0.346736339560298	"IS01"
"ARPC5L"	"ARPC5L"	0.345412651984286	0.245780433270978	-0.429654372090518	"S01"	0.345412651984286	"IS01"
"CD164"	"CD164"	0.344553055016298	-0.11796994527257	-0.116549390460524	"S01"	0.344553055016298	"IS01"
"EWSR1"	"EWSR1"	0.340990691480334	-0.356724623555157	0.0908594172060939	"S01"	0.340990691480334	"IS01"
"ACO2"	"ACO2"	0.34098254324854	-0.296855156315783	0.0394202820032953	"S01"	0.34098254324854	"IS01"
"LYPLAL1"	"LYPLAL1"	0.340696156611227	0.0555376934990218	-0.263200673096508	"S01"	0.340696156611227	"IS01"
"AHSA1"	"AHSA1"	0.340661865696875	-0.275258166928179	0.0210653636733404	"S01"	0.340661865696875	"IS01"
"ANP32E"	"ANP32E"	0.340617284950495	-0.076781110938636	-0.149452654416823	"S01"	0.340617284950495	"IS01"
"IZUMO4"	"IZUMO4"	0.340472384606201	-0.182847958269494	-0.0582205043630106	"S01"	0.340472384606201	"IS01"
"RGS16"	"RGS16"	0.340195406008723	-0.554878533165401	0.261630950358572	"S01"	0.340195406008723	"IS01"
"LAT2"	"LAT2"	0.339106118252271	-0.00748841826313515	-0.208038316805842	"S01"	0.339106118252271	"IS01"
"HLA-DMA"	"HLA-DMA"	0.337636272645293	-0.382702099866141	0.115302746623346	"S01"	0.337636272645293	"IS01"
"LPIN1"	"LPIN1"	0.335402078540743	-0.124275124456323	-0.105343835716125	"S01"	0.335402078540743	"IS01"
"PIK3AP1"	"PIK3AP1"	0.33497932123377	-0.0249803630320073	-0.190397883176044	"S01"	0.33497932123377	"IS01"
"RBM6"	"RBM6"	0.334788920197937	-0.228732074154237	-0.0151988721356863	"S01"	0.334788920197937	"IS01"
"SMARCB1"	"SMARCB1"	0.334266203844798	-0.00557702260623843	-0.206619650886295	"S01"	0.334266203844798	"IS01"
"PTPN7"	"PTPN7"	0.333862492442887	-0.0423694329063325	-0.174749548356304	"S01"	0.333862492442887	"IS01"
"MBD4"	"MBD4"	0.333200799045279	0.199649441637257	-0.382291625369364	"S01"	0.333200799045279	"IS01"
"AKIRIN2"	"AKIRIN2"	0.332755069256581	-0.204560532786563	-0.0346825134949481	"S01"	0.332755069256581	"IS01"
"P2RY8"	"P2RY8"	0.332737385826637	-0.227414550878817	-0.01503346117987	"S01"	0.332737385826637	"IS01"
"DAXX"	"DAXX"	0.3327012817522	-0.265585504558547	0.0177886891593557	"S01"	0.3327012817522	"IS01"
"RAB3GAP2"	"RAB3GAP2"	0.332249925185832	-0.0944828102063219	-0.128949974509949	"S01"	0.332249925185832	"IS01"
"NOP58"	"NOP58"	0.330380345864997	-0.430965390415429	0.161363270465711	"S01"	0.330380345864997	"IS01"
"RAB30"	"RAB30"	0.329742984904212	-0.351417196983258	0.0934126688645684	"S01"	0.329742984904212	"IS01"
"ABI1"	"ABI1"	0.329708049351926	-0.0135731503392847	-0.196865909139309	"S01"	0.329708049351926	"IS01"
"TRA2A"	"TRA2A"	0.329449308198757	-0.266440470785161	0.0205801006684772	"S01"	0.329449308198757	"IS01"
"SCAMP2"	"SCAMP2"	0.328327484534652	0.0526137529090084	-0.25286544798134	"S01"	0.328327484534652	"IS01"
"EIF4H"	"EIF4H"	0.328267134072793	-0.309299325757095	0.0581552934198668	"S01"	0.328267134072793	"IS01"
"PTPRC"	"PTPRC"	0.328033158768401	-0.0609623647926857	-0.155086269198461	"S01"	0.328033158768401	"IS01"
"CD22"	"CD22"	0.328000194235432	-0.179228370292155	-0.0534424927850077	"S01"	0.328000194235432	"IS01"
"TTN"	"TTN"	0.327031524527119	-0.0954488581892681	-0.124819416006334	"S01"	0.327031524527119	"IS01"
"UBE2I"	"UBE2I"	0.325695096904336	0.044211728000994	-0.243980910369439	"S01"	0.325695096904336	"IS01"
"TRIM38"	"TRIM38"	0.32502162314206	-0.175763960974669	-0.0545355268733609	"S01"	0.32502162314206	"IS01"
"SETDB2"	"SETDB2"	0.324747261406235	-0.085684807610094	-0.131764695152481	"S01"	0.324747261406235	"IS01"
"STX7"	"STX7"	0.324346123777112	0.0522216387494323	-0.250010441068255	"S01"	0.324346123777112	"IS01"
"FNBP1"	"FNBP1"	0.323041924061292	-0.172297059062115	-0.0562624548735912	"S01"	0.323041924061292	"IS01"
"SWAP70"	"SWAP70"	0.322607293339191	-0.271909165593405	0.0296065474003621	"S01"	0.322607293339191	"IS01"
"MOB1A"	"MOB1A"	0.321724462839494	-0.0523555995261445	-0.158491808013642	"S01"	0.321724462839494	"IS01"
"GPR18"	"GPR18"	0.321228167727172	-0.213005845480984	-0.020135306603536	"S01"	0.321228167727172	"IS01"
"NEK6"	"NEK6"	0.320600514749589	-0.0436674953844724	-0.165246413372412	"S01"	0.320600514749589	"IS01"
"PPP1CC"	"PPP1CC"	0.319500435607597	0.133437126259533	-0.316732083675344	"S01"	0.319500435607597	"IS01"
"SNX8"	"SNX8"	0.319043260177388	-0.247140313334293	0.0105774396683432	"S01"	0.319043260177388	"IS01"
"CAPZA1"	"CAPZA1"	0.318786486514558	-0.317854859986541	0.0715030257869908	"S01"	0.318786486514558	"IS01"
"IER2"	"IER2"	0.31723818483431	-0.510772038621451	0.238251027884924	"S01"	0.31723818483431	"IS01"
"ACP5"	"ACP5"	0.317187933152942	0.168258879494304	-0.345190939867079	"S01"	0.317187933152942	"IS01"
"TBC1D22A"	"TBC1D22A"	0.31604169216514	-0.070757125111344	-0.139085695393961	"S01"	0.31604169216514	"IS01"
"CYTIP"	"CYTIP"	0.315437055122022	-0.319335516886511	0.0748937158712353	"S01"	0.315437055122022	"IS01"
"ATP6V0D1"	"ATP6V0D1"	0.31534871389037	-0.368390923537522	0.117101634049998	"S01"	0.31534871389037	"IS01"
"PRKCD"	"PRKCD"	0.311221718942854	-0.239967240344058	0.00936065810581705	"S01"	0.311221718942854	"IS01"
"RAN"	"RAN"	0.310909987374288	-0.230100129915106	0.00107926413035942	"S01"	0.310909987374288	"IS01"
"CD53"	"CD53"	0.310195471074025	-0.0398991859290279	-0.161903593296833	"S01"	0.310195471074025	"IS01"
"IFNLR1"	"IFNLR1"	0.310122937395613	-0.143554877660547	-0.0727890564659104	"S01"	0.310122937395613	"IS01"
"CKS2"	"CKS2"	0.30878041744646	-0.287206528334401	0.0514961985678002	"S01"	0.30878041744646	"IS01"
"IRF8"	"IRF8"	0.308684423231945	-0.0679635862421561	-0.136832892484371	"S01"	0.308684423231945	"IS01"
"SPIB"	"SPIB"	0.308570536246041	-0.348563078473398	0.104351041836654	"S01"	0.308570536246041	"IS01"
"LSP1"	"LSP1"	0.308178934102994	0.051980542120802	-0.239578083216203	"S01"	0.308178934102994	"IS01"
"VCP"	"VCP"	0.30795147884046	-0.286465718560492	0.0513839149124545	"S01"	0.30795147884046	"IS01"
"RUNX3"	"RUNX3"	0.305708587295459	-0.223587891297481	-0.00122682839636025	"S01"	0.305708587295459	"IS01"
"TSC22D3"	"TSC22D3"	0.304752690515868	0.0789322163243435	-0.260569980684906	"S01"	0.304752690515868	"IS01"
"ODC1"	"ODC1"	0.304376461832145	-0.454083872578103	0.197674945352442	"S01"	0.304376461832145	"IS01"
"CD19"	"CD19"	0.304340315891032	-0.325045349045224	0.0868183320944416	"S01"	0.304340315891032	"IS01"
"ZBTB32"	"ZBTB32"	0.304162638703572	-0.0649009247060961	-0.136604685808079	"S01"	0.304162638703572	"IS01"
"ANKRD13A"	"ANKRD13A"	0.304142660012976	-0.0441600502150266	-0.154414148349831	"S01"	0.304142660012976	"IS01"
"TPM3"	"TPM3"	0.300820620160591	0.00897481810671681	-0.19797049431422	"S01"	0.300820620160591	"IS01"
"CCR6"	"CCR6"	0.299239578396616	-0.15654232334611	-0.0547459303235447	"S01"	0.299239578396616	"IS01"
"CXCR5"	"CXCR5"	0.297896921043439	-0.498054554577586	0.239555904053054	"S01"	0.297896921043439	"IS01"
"UBE2D2"	"UBE2D2"	0.296424753440622	0.163680329539627	-0.328124715121822	"S01"	0.296424753440622	"IS01"
"MEF2A"	"MEF2A"	0.295116080993713	-0.0222739624478584	-0.167511299113988	"S01"	0.295116080993713	"IS01"
"CHORDC1"	"CHORDC1"	0.2933728072819	-0.377957985771758	0.13922136662837	"S01"	0.2933728072819	"IS01"
"TIAM2"	"TIAM2"	0.289716463384463	-0.159723733538185	-0.0459891848997904	"S01"	0.289716463384463	"IS01"
"MMP20"	"MMP20"	0.289516298858804	-0.0828412274329889	-0.11192574181359	"S01"	0.289516298858804	"IS01"
"POLD4"	"POLD4"	0.289472461886447	0.223861229640708	-0.375439525453482	"S01"	0.289472461886447	"IS01"
"LIMD2"	"LIMD2"	0.28858058361404	0.212415550396296	-0.365040466316318	"S01"	0.28858058361404	"IS01"
"SNAP23"	"SNAP23"	0.288493821378754	-0.0473824742121408	-0.141747851953565	"S01"	0.288493821378754	"IS01"
"MIS18BP1"	"MIS18BP1"	0.287777517752379	-0.000787796648775782	-0.18133241899518	"S01"	0.287777517752379	"IS01"
"ELMO1"	"ELMO1"	0.287171325659836	-0.226395826434879	0.0129101363203854	"S01"	0.287171325659836	"IS01"
"HSPA4"	"HSPA4"	0.286660607437416	-0.264794862724532	0.0462284492377419	"S01"	0.286660607437416	"IS01"
"ARID4B"	"ARID4B"	0.28555020031954	-0.278727566141572	0.0589027560418945	"S01"	0.28555020031954	"IS01"
"ZC3H15"	"ZC3H15"	0.284985481310914	-0.302031562630923	0.0792844443170715	"S01"	0.284985481310914	"IS01"
