"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"SEMA5B"	"SEMA5B"	0.9476419437995	-0.145361246138425	-0.177218625003611	-0.19014003386356	-0.176938990092362	-0.190313480629332	"S01"	0.9476419437995	"IS01"
"PDE1A"	"PDE1A"	0.947188418901126	-0.171820828369884	-0.175716517495957	-0.212965866401537	-0.0299697816107208	-0.259847798118438	"S01"	0.947188418901126	"IS01"
"CSRP1"	"CSRP1"	0.940836738239366	-0.443483392891362	-0.461244315601256	-0.351075483349482	-0.304256850420298	0.392506891689502	"S01"	0.940836738239366	"IS01"
"NFASC"	"NFASC"	0.938183252312266	-0.129966451319065	0.0184782231943869	-0.252117684151574	-0.217050735309576	-0.2442352655385	"S01"	0.938183252312266	"IS01"
"DPY19L2"	"DPY19L2"	0.930327313924745	-0.147740880210928	-0.0893490321348286	-0.207050060547302	-0.221900568391559	-0.191754293579805	"S01"	0.930327313924745	"IS01"
"LDB3"	"LDB3"	0.926961290497591	0.0338650386287561	-0.18711988504218	-0.212290975863109	-0.197552036316006	-0.221101285678179	"S01"	0.926961290497591	"IS01"
"FILIP1"	"FILIP1"	0.924906648625374	-0.078172099990585	-0.153915885282595	-0.223205404760543	-0.0248255160252973	-0.298894019970767	"S01"	0.924906648625374	"IS01"
"CASQ2"	"CASQ2"	0.924131212341352	0.355938160630869	-0.240783828445464	-0.258339919370695	-0.236337075209688	-0.269061311167978	"S01"	0.924131212341352	"IS01"
"TPM1"	"TPM1"	0.918389300824022	-0.631690991954273	-0.78759372502899	-0.0700566112201753	-0.383984170411362	0.530085041968728	"S01"	0.918389300824022	"IS01"
"CACNA1H"	"CACNA1H"	0.916485287446937	-0.23365330981238	-0.226159476534734	-0.235063342666879	-0.251468611610861	0.00169889757881324	"S01"	0.916485287446937	"IS01"
"MYOCD"	"MYOCD"	0.907451309987429	-0.139231246148821	-0.164308595906279	-0.184408865762635	-0.180892003885673	-0.175923239988539	"S01"	0.907451309987429	"IS01"
"GUCY1A2"	"GUCY1A2"	0.904754551784528	-0.190871416598876	-0.324534584735739	-0.209352869251779	-0.232177115748213	0.0216589214345174	"S01"	0.904754551784528	"IS01"
"SLC7A2"	"SLC7A2"	0.898769286898816	-0.122647262136857	-0.0682914431825061	-0.199379919103648	-0.0769484626740961	-0.303861313956631	"S01"	0.898769286898816	"IS01"
"OAZ2"	"OAZ2"	0.897959374840936	-0.313750031893302	-0.120751575311807	-0.133362539044224	-0.196392171125631	-0.15035804101001	"S01"	0.897959374840936	"IS01"
"HEY2"	"HEY2"	0.894604165244507	-0.214489808428505	-0.208274753450128	-0.0496087778218022	-0.338024803372803	-0.111913528274225	"S01"	0.894604165244507	"IS01"
"CPM"	"CPM"	0.891350447778052	-0.111259793451067	-0.379754155492873	0.285080969771911	-0.309837990603601	-0.361735910030551	"S01"	0.891350447778052	"IS01"
"ID4"	"ID4"	0.880063775343851	-0.187696159550373	0.228311098240775	-0.26545243988499	-0.235707277123175	-0.296587906991399	"S01"	0.880063775343851	"IS01"
"ANO1"	"ANO1"	0.878932037440175	-0.162158370640922	-0.402385278254092	-0.259467116697894	-0.341735458567046	0.202420054913341	"S01"	0.878932037440175	"IS01"
"ACAN"	"ACAN"	0.87841254794219	-0.141451152421055	-0.185573158093759	-0.199103714766979	-0.185280340487299	-0.122749467398452	"S01"	0.87841254794219	"IS01"
"FAM13C"	"FAM13C"	0.877830018549479	-0.203578022235159	0.297891345977302	-0.356278105076893	-0.0376681273159353	-0.391753950865611	"S01"	0.877830018549479	"IS01"
"CNN1"	"CNN1"	0.875738519826657	-0.285776525375692	-0.226925470300401	-0.358831366327716	-0.105643378723623	0.0672141394737133	"S01"	0.875738519826657	"IS01"
"MYO1B"	"MYO1B"	0.875484988122016	-0.510085809202949	-0.364490828563353	0.0499563268478905	-0.47889209699977	0.16274510172197	"S01"	0.875484988122016	"IS01"
"ADAMTS1"	"ADAMTS1"	0.873631443769277	-0.249578376858059	0.552728319085345	-0.498251632026474	0.160446368125747	-0.554583128567202	"S01"	0.873631443769277	"IS01"
"MAP2"	"MAP2"	0.87271287465642	-0.146900961697524	-0.136095118917596	-0.218424520942479	-0.146216830087658	-0.160419134402799	"S01"	0.87271287465642	"IS01"
"PDE5A"	"PDE5A"	0.868787635269613	-0.306043886942825	0.0601016024526244	-0.292444855160547	-0.100868834118468	-0.182571387489686	"S01"	0.868787635269613	"IS01"
"TPM2"	"TPM2"	0.868745113382171	-0.530013199260757	-0.40253575931358	0.37456339219209	-0.959964769728799	0.245171111911125	"S01"	0.868745113382171	"IS01"
"LINGO1"	"LINGO1"	0.86619619294147	-0.122106159481969	-0.161464004707556	-0.174485417301746	-0.174599801592013	-0.169967899981436	"S01"	0.86619619294147	"IS01"
"KCNA5"	"KCNA5"	0.862369674850867	-0.147954008227112	-0.157073259623172	-0.168525824546948	-0.15682541227071	-0.17551983227649	"S01"	0.862369674850867	"IS01"
